"","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP"
"219","201210310TOR","TOR","Ed Davis","davised01","13:38",2,4,0.5,0,0,NA,1,2,0.5,1,1,2,0,0,2,2,1,5,1,NA,1
"220","201210310TOR","TOR","Aaron Gray","grayaa01","7:48",2,2,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,4,1,NA,1
"221","201210310TOR","TOR","Terrence Ross","rosste01","6:24",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,0,4,NA,1
"222","201210310TOR","TOR","John Lucas","lucasjo02","5:19",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-3,NA,1
"223","201210310UTA","DAL","Darren Collison","collida01","32:41:00",6,12,0.5,2,2,1,3,3,1,1,3,4,7,1,0,1,2,17,-3,NA,1
"224","201210310UTA","DAL","O.J. Mayo","mayooj01","30:39:00",3,9,0.333,3,5,0.6,3,4,0.75,0,4,4,3,0,0,2,4,12,-1,NA,1
"225","201210310UTA","DAL","Shawn Marion","mariosh01","29:27:00",2,7,0.286,1,2,0.5,0,0,NA,2,9,11,4,0,0,4,1,5,0,NA,1
"226","201210310UTA","DAL","Brandan Wright","wrighbr03","25:53:00",7,8,0.875,0,0,NA,1,2,0.5,0,3,3,1,0,2,1,2,15,1,NA,1
"227","201210310UTA","DAL","Elton Brand","brandel01","25:42:00",2,8,0.25,0,0,NA,1,2,0.5,3,4,7,2,3,2,2,3,5,-2,NA,1
"228","201210310UTA","DAL","Jae Crowder","crowdja01","21:38",3,11,0.273,2,6,0.333,0,2,0,0,3,3,1,0,0,0,5,8,-10,NA,1
