"","X","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP","Game.Date"
"11809",11809,"201301140SAC","SAC","DeMarcus Cousins","couside01","31:52:00",7,14,0.5,0,0,NA,12,12,1,3,11,14,6,2,3,3,5,26,2,NA,1,2013-01-14
"11810",11810,"201301140SAC","SAC","Isaiah Thomas","thomais02","31:22:00",2,8,0.25,0,3,0,2,2,1,0,2,2,6,1,0,1,3,6,-2,NA,1,2013-01-14
"11811",11811,"201301140SAC","SAC","Tyreke Evans","evansty01","25:13:00",6,6,1,2,2,1,4,4,1,1,3,4,0,0,0,2,2,18,3,NA,1,2013-01-14
"11812",11812,"201301140SAC","SAC","Jason Thompson","thompja02","22:00",2,9,0.222,0,0,NA,2,2,1,3,1,4,1,0,0,0,4,6,-5,NA,1,2013-01-14
"11813",11813,"201301140SAC","SAC","Marcus Thornton","thornma01","29:30:00",8,14,0.571,3,6,0.5,1,2,0.5,0,1,1,1,2,0,3,2,20,4,NA,1,2013-01-14
"11814",11814,"201301140SAC","SAC","Thomas Robinson","robinth01","27:54:00",6,10,0.6,0,0,NA,0,0,NA,4,3,7,2,0,1,0,3,12,8,NA,1,2013-01-14
"11815",11815,"201301140SAC","SAC","Chuck Hayes","hayesch01","14:14",1,2,0.5,0,0,NA,2,4,0.5,3,1,4,1,1,0,1,3,4,7,NA,1,2013-01-14
"11816",11816,"201301140SAC","SAC","Jimmer Fredette","fredeji01","13:38",5,8,0.625,3,4,0.75,3,3,1,0,1,1,1,0,1,1,3,16,7,NA,1,2013-01-14
"11817",11817,"201301140SAC","SAC","Francisco Garcia","garcifr01","11:54",1,1,1,0,0,NA,0,0,NA,0,1,1,2,0,1,0,1,2,12,NA,1,2013-01-14
"11818",11818,"201301140UTA","MIA","LeBron James","jamesle01","43:41:00",13,19,0.684,2,4,0.5,4,4,1,1,3,4,6,3,2,3,5,32,1,NA,1,2013-01-14
"11819",11819,"201301140UTA","MIA","Mario Chalmers","chalmma01","37:17:00",4,8,0.5,2,4,0.5,2,4,0.5,0,2,2,7,1,0,1,4,12,1,NA,1,2013-01-14
"11820",11820,"201301140UTA","MIA","Dwyane Wade","wadedw01","29:18:00",5,11,0.455,1,2,0.5,0,3,0,1,4,5,4,1,0,2,2,11,-6,NA,1,2013-01-14
"11821",11821,"201301140UTA","MIA","Chris Bosh","boshch01","26:35:00",8,13,0.615,0,0,NA,0,0,NA,1,0,1,1,0,1,2,4,16,-12,NA,1,2013-01-14
"11822",11822,"201301140UTA","MIA","Udonis Haslem","hasleud01","18:50",0,1,0,0,0,NA,0,0,NA,0,5,5,1,1,0,2,4,0,-1,NA,1,2013-01-14
"11823",11823,"201301140UTA","MIA","Rashard Lewis","lewisra02","27:16:00",4,10,0.4,2,6,0.333,3,3,1,0,4,4,0,1,1,1,1,13,1,NA,1,2013-01-14
"11824",11824,"201301140UTA","MIA","Ray Allen","allenra02","23:23",4,6,0.667,2,4,0.5,0,0,NA,0,0,0,3,0,0,2,3,10,0,NA,1,2013-01-14
"11825",11825,"201301140UTA","MIA","Joel Anthony","anthojo01","22:54",1,1,1,0,0,NA,1,2,0.5,2,0,2,2,1,0,0,1,3,1,NA,1,2013-01-14
"11826",11826,"201301140UTA","MIA","Norris Cole","coleno01","6:02",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,0,1,0,0,-9,NA,1,2013-01-14
"11827",11827,"201301140UTA","MIA","Mike Miller","millemi01","4:44",0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,-11,NA,1,2013-01-14
"11828",11828,"201301140UTA","UTA","Al Jefferson","jeffeal01","37:39:00",8,14,0.571,0,0,NA,7,8,0.875,4,7,11,1,1,0,2,4,23,3,NA,1,2013-01-14
"11829",11829,"201301140UTA","UTA","Paul Millsap","millspa01","32:48:00",4,14,0.286,0,0,NA,9,10,0.9,5,4,9,0,2,0,1,3,17,-3,NA,1,2013-01-14
"11830",11830,"201301140UTA","UTA","Marvin Williams","willima02","32:42:00",2,8,0.25,1,4,0.25,0,0,NA,0,2,2,2,2,1,1,1,5,1,NA,1,2013-01-14
"11831",11831,"201301140UTA","UTA","Jamaal Tinsley","tinslja01","30:36:00",1,7,0.143,1,5,0.2,0,0,NA,0,5,5,7,1,0,5,3,3,10,NA,1,2013-01-14
"11832",11832,"201301140UTA","UTA","Randy Foye","foyera01","21:14",3,6,0.5,3,4,0.75,0,0,NA,1,1,2,2,1,0,0,3,9,4,NA,1,2013-01-14
"11833",11833,"201301140UTA","UTA","Gordon Hayward","haywago01","26:46:00",8,13,0.615,3,4,0.75,3,4,0.75,0,2,2,4,0,0,2,2,22,3,NA,1,2013-01-14
"11834",11834,"201301140UTA","UTA","Derrick Favors","favorde01","17:55",3,4,0.75,0,0,NA,1,1,1,0,1,1,2,0,1,0,2,7,5,NA,1,2013-01-14
"11835",11835,"201301140UTA","UTA","DeMarre Carroll","carrode01","15:18",5,7,0.714,0,0,NA,2,3,0.667,3,1,4,2,1,0,1,1,12,6,NA,1,2013-01-14
"11836",11836,"201301140UTA","UTA","Earl Watson","watsoea01","9:21",0,0,NA,0,0,NA,0,0,NA,0,0,0,3,1,0,0,0,0,10,NA,1,2013-01-14
"11837",11837,"201301140UTA","UTA","Alec Burks","burksal01","8:03",1,2,0.5,0,1,0,2,2,1,0,1,1,0,0,0,1,0,4,-13,NA,1,2013-01-14
"11838",11838,"201301140UTA","UTA","Enes Kanter","kanteen01","7:38",1,1,1,0,0,NA,0,0,NA,0,3,3,2,0,0,1,1,2,9,NA,1,2013-01-14
"11839",11839,"201301140WAS","ORL","Arron Afflalo","afflaar01","37:06:00",1,11,0.091,0,1,0,0,0,NA,0,2,2,3,1,0,0,2,2,-19,NA,1,2013-01-14
"11840",11840,"201301140WAS","ORL","Jameer Nelson","nelsoja01","34:10:00",6,17,0.353,3,7,0.429,4,4,1,0,2,2,12,3,0,4,2,19,-11,NA,1,2013-01-14
"11841",11841,"201301140WAS","ORL","Nikola Vucevic","vucevni01","33:03:00",6,10,0.6,0,0,NA,1,2,0.5,3,10,13,1,1,0,1,4,13,-7,NA,1,2013-01-14
"11842",11842,"201301140WAS","ORL","DeQuan Jones","jonesde01","20:05",3,5,0.6,0,0,NA,0,0,NA,0,2,2,0,0,0,2,0,6,-18,NA,1,2013-01-14
"11843",11843,"201301140WAS","ORL","Andrew Nicholson","nichoan01","15:38",3,8,0.375,0,0,NA,0,0,NA,1,1,2,0,1,0,1,4,6,-14,NA,1,2013-01-14
"11844",11844,"201301140WAS","ORL","J.J. Redick","redicjj01","21:17",4,8,0.5,2,6,0.333,2,2,1,1,0,1,4,0,0,0,0,12,-7,NA,1,2013-01-14
"11845",11845,"201301140WAS","ORL","Glen Davis","davisgl01","17:44",6,8,0.75,0,0,NA,1,2,0.5,1,3,4,1,0,2,1,1,13,-13,NA,1,2013-01-14
"11846",11846,"201301140WAS","ORL","E'Twaun Moore","mooreet01","15:33",1,5,0.2,0,1,0,3,3,1,0,1,1,0,0,0,1,0,5,-13,NA,1,2013-01-14
"11847",11847,"201301140WAS","ORL","Ishmael Smith","smithis01","13:50",1,4,0.25,0,2,0,0,0,NA,0,1,1,2,1,1,3,1,2,-18,NA,1,2013-01-14
"11848",11848,"201301140WAS","ORL","Josh McRoberts","mcrobjo01","12:52",2,4,0.5,0,0,NA,1,2,0.5,3,2,5,0,0,0,0,0,5,-4,NA,1,2013-01-14
"11849",11849,"201301140WAS","ORL","Maurice Harkless","harklma01","10:54",2,4,0.5,0,1,0,0,0,NA,1,0,1,0,0,0,1,1,4,-10,NA,1,2013-01-14
"11850",11850,"201301140WAS","ORL","Kyle O'Quinn","oquinky01","7:48",2,3,0.667,0,0,NA,0,0,NA,1,3,4,0,0,0,0,1,4,-11,NA,1,2013-01-14
"11851",11851,"201301140WAS","WAS","Bradley Beal","bealbr01","29:42:00",7,10,0.7,1,1,1,2,2,1,1,1,2,2,1,0,2,2,17,9,NA,1,2013-01-14
"11852",11852,"201301140WAS","WAS","A.J. Price","priceaj01","28:11:00",5,9,0.556,3,5,0.6,5,6,0.833,1,0,1,6,2,0,1,1,18,28,NA,1,2013-01-14
"11853",11853,"201301140WAS","WAS","Emeka Okafor","okafoem01","27:25:00",8,13,0.615,0,0,NA,3,4,0.75,2,9,11,2,0,1,1,1,19,6,NA,1,2013-01-14
"11854",11854,"201301140WAS","WAS","Martell Webster","webstma02","19:02",2,3,0.667,1,2,0.5,3,3,1,0,2,2,3,2,0,2,4,8,12,NA,1,2013-01-14
"11855",11855,"201301140WAS","WAS","Nene Hilario","hilarne01","15:46",1,4,0.25,0,0,NA,0,0,NA,0,3,3,0,0,0,0,1,2,-3,NA,1,2013-01-14
"11856",11856,"201301140WAS","WAS","Kevin Seraphin","serapke01","28:13:00",8,15,0.533,0,0,NA,2,2,1,1,4,5,4,0,3,2,5,18,26,NA,1,2013-01-14
"11857",11857,"201301140WAS","WAS","Trevor Ariza","arizatr01","24:38:00",4,7,0.571,1,2,0.5,0,0,NA,0,5,5,2,1,2,1,0,9,16,NA,1,2013-01-14
"11858",11858,"201301140WAS","WAS","Jan Vesely","veselja01","24:36:00",5,7,0.714,0,0,NA,0,2,0,2,5,7,4,1,0,0,5,10,29,NA,1,2013-01-14
"11859",11859,"201301140WAS","WAS","John Wall","walljo01","19:49",3,8,0.375,0,0,NA,6,6,1,1,0,1,6,1,0,2,0,12,1,NA,1,2013-01-14
"11860",11860,"201301140WAS","WAS","Garrett Temple","templga01","18:18",3,5,0.6,1,1,1,0,0,NA,0,4,4,3,0,0,0,2,7,20,NA,1,2013-01-14
"11861",11861,"201301140WAS","WAS","Chris Singleton","singlch01","4:20",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,1,NA,1,2013-01-14
"11862",11862,"201301150BRK","TOR","Landry Fields","fieldla01","40:19:00",4,6,0.667,0,0,NA,0,0,NA,2,9,11,5,2,0,1,3,8,-13,NA,1,2013-01-15
"11863",11863,"201301150BRK","TOR","DeMar DeRozan","derozde01","34:05:00",5,15,0.333,0,0,NA,2,2,1,2,0,2,1,0,0,2,1,12,-19,NA,1,2013-01-15
"11864",11864,"201301150BRK","TOR","Jose Calderon","caldejo01","29:13:00",6,11,0.545,3,4,0.75,0,0,NA,0,3,3,5,0,0,0,1,15,-15,NA,1,2013-01-15
"11865",11865,"201301150BRK","TOR","Ed Davis","davised01","29:08:00",6,10,0.6,0,0,NA,0,0,NA,2,5,7,2,0,0,2,3,12,-11,NA,1,2013-01-15
"11866",11866,"201301150BRK","TOR","Aaron Gray","grayaa01","16:39",2,5,0.4,0,0,NA,2,2,1,0,2,2,3,0,0,3,2,6,-4,NA,1,2013-01-15
"11867",11867,"201301150BRK","TOR","Amir Johnson","johnsam01","26:00:00",6,7,0.857,0,0,NA,3,6,0.5,4,2,6,1,1,1,2,4,15,5,NA,1,2013-01-15
"11868",11868,"201301150BRK","TOR","Terrence Ross","rosste01","22:59",2,9,0.222,0,3,0,0,0,NA,3,6,9,1,0,0,1,2,4,5,NA,1,2013-01-15
"11869",11869,"201301150BRK","TOR","Kyle Lowry","lowryky01","14:49",5,7,0.714,4,5,0.8,7,7,1,0,1,1,2,0,0,0,5,21,16,NA,1,2013-01-15
"11870",11870,"201301150BRK","TOR","John Lucas","lucasjo02","12:00",2,6,0.333,0,0,NA,1,1,1,0,0,0,1,0,0,0,0,5,0,NA,1,2013-01-15
"11871",11871,"201301150BRK","TOR","Alan Anderson","anderal01","8:40",0,4,0,0,1,0,2,3,0.667,0,0,0,0,0,0,1,0,2,-5,NA,1,2013-01-15
"11872",11872,"201301150BRK","TOR","Quincy Acy","acyqu01","6:08",2,2,1,0,0,NA,2,2,1,0,0,0,0,0,0,1,0,6,6,NA,1,2013-01-15
"11873",11873,"201301150BRK","BRK","Deron Williams","willide01","42:37:00",6,13,0.462,1,5,0.2,8,8,1,0,1,1,7,0,0,2,3,21,17,NA,1,2013-01-15
"11874",11874,"201301150BRK","BRK","Joe Johnson","johnsjo02","37:30:00",9,18,0.5,2,5,0.4,1,1,1,3,2,5,5,2,0,0,0,21,5,NA,1,2013-01-15
"11875",11875,"201301150BRK","BRK","Brook Lopez","lopezbr01","28:48:00",6,12,0.5,0,0,NA,10,10,1,3,6,9,0,1,2,0,1,22,13,NA,1,2013-01-15
"11876",11876,"201301150BRK","BRK","Keith Bogans","boganke01","26:42:00",3,5,0.6,1,3,0.333,0,0,NA,0,1,1,3,3,0,0,0,7,11,NA,1,2013-01-15
"11877",11877,"201301150BRK","BRK","Reggie Evans","evansre01","21:39",1,3,0.333,0,0,NA,0,0,NA,0,7,7,0,0,0,2,3,2,1,NA,1,2013-01-15
"11878",11878,"201301150BRK","BRK","Mirza Teletovic","teletmi01","21:44",3,8,0.375,3,6,0.5,1,2,0.5,3,1,4,3,1,1,1,3,10,10,NA,1,2013-01-15
"11879",11879,"201301150BRK","BRK","Andray Blatche","blatcan01","18:58",7,10,0.7,0,0,NA,0,0,NA,1,1,2,0,0,1,1,2,14,-6,NA,1,2013-01-15
"11880",11880,"201301150BRK","BRK","C.J. Watson","watsocj01","16:02",2,5,0.4,1,1,1,4,4,1,0,1,1,1,1,0,0,3,9,-8,NA,1,2013-01-15
"11881",11881,"201301150BRK","BRK","MarShon Brooks","brookma01","11:51",3,5,0.6,0,0,NA,1,3,0.333,0,2,2,2,1,0,0,2,7,0,NA,1,2013-01-15
"11882",11882,"201301150BRK","BRK","Jerry Stackhouse","stackje01","9:18",0,1,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,2,0,-4,NA,1,2013-01-15
"11883",11883,"201301150BRK","BRK","Kris Humphries","humphkr01","4:34",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-4,NA,1,2013-01-15
"11884",11884,"201301150BRK","BRK","Damion James","jamesda01","0:17",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,NA,1,2013-01-15
"11885",11885,"201301150CHA","IND","Paul George","georgpa01","31:21:00",7,16,0.438,2,7,0.286,0,2,0,2,8,10,3,2,0,3,3,16,26,NA,1,2013-01-15
"11886",11886,"201301150CHA","IND","Lance Stephenson","stephla01","27:38:00",3,6,0.5,1,3,0.333,0,1,0,2,6,8,6,2,0,2,3,7,28,NA,1,2013-01-15
"11887",11887,"201301150CHA","IND","George Hill","hillge01","27:28:00",6,11,0.545,2,4,0.5,2,2,1,2,5,7,4,1,0,0,1,16,28,NA,1,2013-01-15
"11888",11888,"201301150CHA","IND","David West","westda01","26:38:00",6,13,0.462,0,0,NA,3,4,0.75,2,6,8,4,0,0,1,0,15,30,NA,1,2013-01-15
"11889",11889,"201301150CHA","IND","Roy Hibbert","hibbero01","26:36:00",5,11,0.455,0,0,NA,8,8,1,4,3,7,1,0,4,2,3,18,31,NA,1,2013-01-15
"11890",11890,"201301150CHA","IND","D.J. Augustin","augusdj01","20:32",2,4,0.5,2,3,0.667,0,0,NA,0,2,2,1,0,0,2,2,6,-1,NA,1,2013-01-15
"11891",11891,"201301150CHA","IND","Gerald Green","greenge01","19:31",1,7,0.143,0,4,0,1,2,0.5,1,0,1,3,0,1,0,3,3,0,NA,1,2013-01-15
"11892",11892,"201301150CHA","IND","Tyler Hansbrough","hansbty01","17:36",2,5,0.4,0,0,NA,5,5,1,3,0,3,0,0,1,4,3,9,-2,NA,1,2013-01-15
"11893",11893,"201301150CHA","IND","Ian Mahinmi","mahinia01","14:43",0,2,0,0,0,NA,4,4,1,1,5,6,0,0,3,2,4,4,-2,NA,1,2013-01-15
"11894",11894,"201301150CHA","IND","Orlando Johnson","johnsor01","12:00",1,4,0.25,0,0,NA,0,0,NA,1,4,5,2,0,0,0,0,2,1,NA,1,2013-01-15
"11895",11895,"201301150CHA","IND","Jeff Pendergraph","pendeje02","6:41",2,6,0.333,0,0,NA,0,0,NA,0,3,3,0,0,0,0,1,4,-2,NA,1,2013-01-15
"11896",11896,"201301150CHA","IND","Dominic McGuire","mcguido01","5:30",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,-1,NA,1,2013-01-15
"11897",11897,"201301150CHA","IND","Ben Hansbrough","hansbbe01","3:46",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,3,-1,NA,1,2013-01-15
"11898",11898,"201301150CHA","CHA","Michael Kidd-Gilchrist","kiddgmi01","31:35:00",1,5,0.2,0,0,NA,2,3,0.667,1,4,5,1,1,1,2,2,4,-27,NA,1,2013-01-15
"11899",11899,"201301150CHA","CHA","Kemba Walker","walkeke02","26:41:00",6,9,0.667,1,1,1,0,0,NA,0,1,1,1,3,0,1,2,13,-25,NA,1,2013-01-15
"11900",11900,"201301150CHA","CHA","Gerald Henderson","hendege02","24:39:00",3,10,0.3,1,1,1,8,12,0.667,0,0,0,3,0,0,2,1,15,-24,NA,1,2013-01-15
"11901",11901,"201301150CHA","CHA","Bismack Biyombo","biyombi01","22:10",2,6,0.333,0,0,NA,1,2,0.5,2,4,6,0,0,2,1,4,5,-21,NA,1,2013-01-15
"11902",11902,"201301150CHA","CHA","Hakim Warrick","warriha01","14:14",2,4,0.5,0,0,NA,0,0,NA,0,1,1,2,0,0,1,0,4,-16,NA,1,2013-01-15
"11903",11903,"201301150CHA","CHA","Ramon Sessions","sessira01","27:53:00",3,10,0.3,0,1,0,7,8,0.875,0,2,2,1,1,0,1,1,13,-8,NA,1,2013-01-15
"11904",11904,"201301150CHA","CHA","Jeff Adrien","adrieje01","23:28",1,3,0.333,0,0,NA,2,2,1,1,5,6,0,0,0,1,5,4,-6,NA,1,2013-01-15
"11905",11905,"201301150CHA","CHA","Jeff Taylor","tayloje03","20:07",1,6,0.167,1,4,0.25,2,2,1,0,2,2,1,1,0,0,2,5,4,NA,1,2013-01-15
"11906",11906,"201301150CHA","CHA","Brendan Haywood","haywobr01","13:44",1,3,0.333,0,0,NA,0,0,NA,0,3,3,1,0,2,0,2,2,-7,NA,1,2013-01-15
"11907",11907,"201301150CHA","CHA","Ben Gordon","gordobe01","13:37",3,9,0.333,0,0,NA,1,1,1,0,1,1,2,0,1,1,1,7,-6,NA,1,2013-01-15
"11908",11908,"201301150CHA","CHA","DeSagana Diop","diopde01","12:06",0,1,0,0,0,NA,0,0,NA,0,2,2,1,1,0,0,1,0,1,NA,1,2013-01-15
"11909",11909,"201301150CHA","CHA","Reggie Williams","willire02","6:14",2,4,0.5,0,2,0,0,0,NA,0,1,1,0,1,0,1,0,4,3,NA,1,2013-01-15
"11910",11910,"201301150CHA","CHA","Tyrus Thomas","thomaty01","3:32",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-3,NA,1,2013-01-15
"11911",11911,"201301150DEN","POR","Nicolas Batum","batumni01","45:19:00",8,17,0.471,2,9,0.222,4,6,0.667,2,5,7,7,2,0,3,2,22,4,NA,1,2013-01-15
"11912",11912,"201301150DEN","POR","LaMarcus Aldridge","aldrila01","45:13:00",11,22,0.5,0,0,NA,8,8,1,1,7,8,6,0,1,2,3,30,-7,NA,1,2013-01-15
"11913",11913,"201301150DEN","POR","Wesley Matthews","matthwe02","43:13:00",6,13,0.462,2,7,0.286,0,0,NA,0,5,5,2,2,0,3,4,14,-10,NA,1,2013-01-15
"11914",11914,"201301150DEN","POR","Damian Lillard","lillada01","42:12:00",5,14,0.357,3,5,0.6,1,2,0.5,0,8,8,5,1,2,2,4,14,-5,NA,1,2013-01-15
"11915",11915,"201301150DEN","POR","J.J. Hickson","hicksjj01","34:29:00",7,8,0.875,0,0,NA,5,5,1,5,8,13,2,0,2,3,1,19,2,NA,1,2013-01-15
"11916",11916,"201301150DEN","POR","Will Barton","bartowi01","17:28",3,7,0.429,0,2,0,1,2,0.5,1,2,3,1,0,0,1,2,7,-2,NA,1,2013-01-15
"11917",11917,"201301150DEN","POR","Luke Babbitt","babbilu01","14:22",1,3,0.333,1,3,0.333,0,0,NA,0,1,1,0,0,0,0,1,3,2,NA,1,2013-01-15
"11918",11918,"201301150DEN","POR","Ronnie Price","pricero01","10:48",1,3,0.333,0,1,0,0,0,NA,0,1,1,2,0,0,3,2,2,1,NA,1,2013-01-15
"11919",11919,"201301150DEN","POR","Jared Jeffries","jeffrja01","9:00",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,2,0,1,0,-3,NA,1,2013-01-15
"11920",11920,"201301150DEN","POR","Joel Freeland","freeljo01","2:56",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-2,NA,1,2013-01-15
"11921",11921,"201301150DEN","DEN","Danilo Gallinari","gallida01","42:25:00",8,14,0.571,3,6,0.5,6,8,0.75,1,3,4,2,0,0,2,3,25,-1,NA,1,2013-01-15
"11922",11922,"201301150DEN","DEN","Andre Iguodala","iguodan01","41:23:00",4,16,0.25,1,5,0.2,0,3,0,1,2,3,4,1,0,2,3,9,9,NA,1,2013-01-15
"11923",11923,"201301150DEN","DEN","Ty Lawson","lawsoty01","40:28:00",10,19,0.526,2,5,0.4,2,4,0.5,0,3,3,12,0,0,2,3,24,7,NA,1,2013-01-15
"11924",11924,"201301150DEN","DEN","Kenneth Faried","farieke01","31:27:00",9,12,0.75,0,0,NA,3,3,1,2,9,11,2,2,1,0,4,21,7,NA,1,2013-01-15
"11925",11925,"201301150DEN","DEN","Kosta Koufos","koufoko01","22:24",4,6,0.667,0,0,NA,0,0,NA,3,2,5,0,3,0,0,3,8,15,NA,1,2013-01-15
"11926",11926,"201301150DEN","DEN","Andre Miller","millean02","29:38:00",2,6,0.333,0,2,0,0,0,NA,2,0,2,5,2,0,2,0,4,-4,NA,1,2013-01-15
"11927",11927,"201301150DEN","DEN","JaVale McGee","mcgeeja01","19:54",2,7,0.286,0,0,NA,0,0,NA,0,2,2,1,1,0,0,6,4,-9,NA,1,2013-01-15
"11928",11928,"201301150DEN","DEN","Corey Brewer","breweco01","18:50",3,6,0.5,1,3,0.333,0,0,NA,1,2,3,3,1,1,0,1,7,-4,NA,1,2013-01-15
"11929",11929,"201301150DEN","DEN","Wilson Chandler","chandwi01","18:31",5,13,0.385,2,4,0.5,1,1,1,1,5,6,2,2,0,2,0,13,0,NA,1,2013-01-15
"11930",11930,"201301150HOU","LAC","Eric Bledsoe","bledser01","36:31:00",7,12,0.583,1,1,1,4,4,1,2,5,7,5,2,0,3,3,19,3,NA,1,2013-01-15
"11931",11931,"201301150HOU","LAC","Blake Griffin","griffbl01","33:19:00",7,13,0.538,0,0,NA,5,5,1,2,2,4,8,1,1,6,3,19,11,NA,1,2013-01-15
"11932",11932,"201301150HOU","LAC","DeAndre Jordan","jordade01","22:03",4,6,0.667,0,0,NA,1,2,0.5,1,3,4,0,0,1,0,0,9,10,NA,1,2013-01-15
"11933",11933,"201301150HOU","LAC","Caron Butler","butleca01","20:21",0,1,0,0,1,0,1,1,1,0,3,3,1,0,0,0,0,1,26,NA,1,2013-01-15
"11934",11934,"201301150HOU","LAC","Willie Green","greenwi01","17:23",5,6,0.833,2,3,0.667,3,3,1,0,1,1,0,1,0,0,2,15,16,NA,1,2013-01-15
"11935",11935,"201301150HOU","LAC","Matt Barnes","barnema02","31:27:00",6,14,0.429,3,6,0.5,3,4,0.75,1,2,3,1,1,0,1,3,18,-11,NA,1,2013-01-15
"11936",11936,"201301150HOU","LAC","Jamal Crawford","crawfja01","29:24:00",11,20,0.55,5,7,0.714,3,3,1,0,0,0,1,0,0,2,0,30,-10,NA,1,2013-01-15
"11937",11937,"201301150HOU","LAC","Lamar Odom","odomla01","19:45",1,4,0.25,0,1,0,0,0,NA,4,7,11,2,1,0,2,5,2,-3,NA,1,2013-01-15
"11938",11938,"201301150HOU","LAC","Grant Hill","hillgr01","16:23",1,2,0.5,0,0,NA,2,4,0.5,0,0,0,2,1,0,2,5,4,-1,NA,1,2013-01-15
"11939",11939,"201301150HOU","LAC","Ronny Turiaf","turiaro01","13:24",0,0,NA,0,0,NA,0,0,NA,0,2,2,1,0,0,0,0,0,-1,NA,1,2013-01-15
"11940",11940,"201301150HOU","HOU","Jeremy Lin","linje01","35:19:00",5,11,0.455,1,4,0.25,1,2,0.5,0,1,1,10,2,0,1,4,12,-12,NA,1,2013-01-15
"11941",11941,"201301150HOU","HOU","James Harden","hardeja01","35:11:00",8,20,0.4,2,9,0.222,5,6,0.833,0,4,4,3,1,0,5,4,23,-8,NA,1,2013-01-15
"11942",11942,"201301150HOU","HOU","Chandler Parsons","parsoch01","32:33:00",7,10,0.7,2,4,0.5,1,2,0.5,1,1,2,4,1,0,1,1,17,-16,NA,1,2013-01-15
"11943",11943,"201301150HOU","HOU","Omer Asik","asikom01","24:32:00",3,6,0.5,0,0,NA,1,3,0.333,6,3,9,1,1,0,4,1,7,-18,NA,1,2013-01-15
"11944",11944,"201301150HOU","HOU","Patrick Patterson","pattepa01","16:01",2,5,0.4,1,3,0.333,0,0,NA,1,1,2,1,1,0,1,4,5,-18,NA,1,2013-01-15
"11945",11945,"201301150HOU","HOU","Carlos Delfino","delfica01","29:14:00",5,10,0.5,2,7,0.286,4,4,1,0,2,2,3,3,0,2,2,16,-6,NA,1,2013-01-15
"11946",11946,"201301150HOU","HOU","Marcus Morris","morrima03","24:32:00",4,9,0.444,3,6,0.5,1,4,0.25,1,7,8,0,0,0,1,3,12,1,NA,1,2013-01-15
"11947",11947,"201301150HOU","HOU","Greg Smith","smithgr02","20:55",3,3,1,0,0,NA,0,0,NA,2,2,4,0,0,1,0,2,6,6,NA,1,2013-01-15
"11948",11948,"201301150HOU","HOU","Toney Douglas","douglto01","13:56",3,6,0.5,1,2,0.5,0,2,0,0,1,1,2,0,0,0,2,7,9,NA,1,2013-01-15
"11949",11949,"201301150HOU","HOU","Donatas Motiejunas","motiedo01","2:33",0,1,0,0,1,0,1,2,0.5,0,0,0,0,0,0,0,0,1,4,NA,1,2013-01-15
"11950",11950,"201301150HOU","HOU","Patrick Beverley","beverpa01","1:45",1,1,1,1,1,1,0,0,NA,0,0,0,1,1,0,0,0,3,6,NA,1,2013-01-15
"11951",11951,"201301150HOU","HOU","James Anderson","anderja01","1:45",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,6,NA,1,2013-01-15
"11952",11952,"201301150HOU","HOU","Cole Aldrich","aldrico01","1:45",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,6,NA,1,2013-01-15
"11953",11953,"201301150LAL","MIL","Monta Ellis","ellismo01","31:12:00",6,16,0.375,2,8,0.25,3,9,0.333,2,4,6,4,1,0,3,3,17,-8,NA,1,2013-01-15
"11954",11954,"201301150LAL","MIL","Brandon Jennings","jennibr01","29:23:00",4,14,0.286,1,7,0.143,3,3,1,0,1,1,1,1,0,2,1,12,-22,NA,1,2013-01-15
"11955",11955,"201301150LAL","MIL","Luc Mbah a Moute","mbahalu01","25:24:00",3,10,0.3,0,2,0,2,2,1,2,3,5,0,0,0,0,0,8,-21,NA,1,2013-01-15
"11956",11956,"201301150LAL","MIL","Larry Sanders","sandela01","24:21:00",3,7,0.429,0,0,NA,0,0,NA,4,7,11,2,1,3,0,4,6,-1,NA,1,2013-01-15
"11957",11957,"201301150LAL","MIL","Ersan Ilyasova","ilyaser01","22:25",3,9,0.333,0,2,0,0,0,NA,3,4,7,0,1,1,1,1,6,-17,NA,1,2013-01-15
