"","X","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP","Game.Date"
"98",98,"201210310DET","DET","Will Bynum","bynumwi01","13:09",4,6,0.667,1,1,1,0,0,NA,0,2,2,2,1,0,3,4,9,2,NA,1,2012-10-31
"99",99,"201210310DET","DET","Andre Drummond","drumman01","12:53",1,1,1,0,0,NA,0,0,NA,0,2,2,0,2,1,2,2,2,0,NA,1,2012-10-31
"100",100,"201210310LAC","MEM","Zach Randolph","randoza01","39:31:00",5,15,0.333,0,0,NA,5,9,0.556,7,9,16,3,1,1,4,3,15,-25,NA,1,2012-10-31
"101",101,"201210310LAC","MEM","Marc Gasol","gasolma01","38:51:00",8,13,0.615,0,0,NA,4,4,1,3,4,7,5,1,1,2,3,20,0,NA,1,2012-10-31
"102",102,"201210310LAC","MEM","Rudy Gay","gayru01","38:18:00",11,21,0.524,0,1,0,3,4,0.75,3,4,7,3,2,1,3,2,25,1,NA,1,2012-10-31
"103",103,"201210310LAC","MEM","Mike Conley","conlemi01","34:25:00",2,10,0.2,1,4,0.25,2,2,1,1,2,3,5,3,0,6,3,7,-4,NA,1,2012-10-31
"104",104,"201210310LAC","MEM","Tony Allen","allento01","28:30:00",2,6,0.333,0,1,0,4,4,1,1,4,5,1,3,0,1,3,8,-11,NA,1,2012-10-31
"105",105,"201210310LAC","MEM","Marreese Speights","speigma01","17:05",2,4,0.5,0,0,NA,3,3,1,0,2,2,0,1,0,0,4,7,7,NA,1,2012-10-31
"106",106,"201210310LAC","MEM","Wayne Ellington","ellinwa01","15:31",2,5,0.4,0,2,0,0,0,NA,1,1,2,0,0,0,0,2,4,3,NA,1,2012-10-31
"107",107,"201210310LAC","MEM","Jerryd Bayless","bayleje01","15:20",1,8,0.125,1,3,0.333,3,4,0.75,0,1,1,4,1,1,1,3,6,-6,NA,1,2012-10-31
"108",108,"201210310LAC","MEM","Quincy Pondexter","pondequ01","12:28",0,4,0,0,3,0,0,0,NA,1,0,1,3,2,0,1,2,0,-10,NA,1,2012-10-31
"109",109,"201210310LAC","LAC","Caron Butler","butleca01","34:25:00",5,12,0.417,0,2,0,0,0,NA,0,2,2,1,1,0,1,3,10,-7,NA,1,2012-10-31
"110",110,"201210310LAC","LAC","Chris Paul","paulch01","34:14:00",4,10,0.4,0,2,0,4,6,0.667,0,4,4,12,4,0,2,2,12,-1,NA,1,2012-10-31
"111",111,"201210310LAC","LAC","Blake Griffin","griffbl01","32:09:00",4,10,0.4,0,0,NA,3,5,0.6,2,5,7,2,0,1,4,4,11,4,NA,1,2012-10-31
"112",112,"201210310LAC","LAC","Willie Green","greenwi01","28:53:00",2,7,0.286,2,2,1,1,2,0.5,0,4,4,1,0,1,0,2,7,21,NA,1,2012-10-31
"113",113,"201210310LAC","LAC","DeAndre Jordan","jordade01","23:23",6,8,0.75,0,0,NA,0,0,NA,3,4,7,1,2,1,9,4,12,7,NA,1,2012-10-31
"114",114,"201210310LAC","LAC","Jamal Crawford","crawfja01","29:51:00",10,14,0.714,3,7,0.429,6,8,0.75,1,1,2,1,1,0,1,1,29,5,NA,1,2012-10-31
"115",115,"201210310LAC","LAC","Eric Bledsoe","bledser01","17:11",5,8,0.625,0,1,0,3,4,0.75,1,3,4,4,0,0,1,1,13,9,NA,1,2012-10-31
"116",116,"201210310LAC","LAC","Lamar Odom","odomla01","16:36",1,2,0.5,0,1,0,0,0,NA,0,6,6,2,2,4,3,2,2,7,NA,1,2012-10-31
"117",117,"201210310LAC","LAC","Ronny Turiaf","turiaro01","15:32",0,1,0,0,0,NA,3,4,0.75,0,0,0,1,2,1,0,3,3,10,NA,1,2012-10-31
"118",118,"201210310LAC","LAC","Ryan Hollins","holliry01","7:48",1,2,0.5,0,0,NA,0,0,NA,1,2,3,0,0,1,1,5,2,-10,NA,1,2012-10-31
"119",119,"201210310NOH","SAS","Tony Parker","parketo01","35:25:00",9,19,0.474,1,1,1,4,6,0.667,0,3,3,6,0,0,0,2,23,12,NA,1,2012-10-31
"120",120,"201210310NOH","SAS","Tim Duncan","duncati01","34:22:00",10,15,0.667,0,0,NA,4,5,0.8,2,9,11,3,0,3,5,3,24,13,NA,1,2012-10-31
"121",121,"201210310NOH","SAS","Kawhi Leonard","leonaka01","34:17:00",6,13,0.462,3,6,0.5,4,4,1,1,6,7,1,5,0,2,5,19,12,NA,1,2012-10-31
"122",122,"201210310NOH","SAS","Danny Green","greenda02","32:37:00",4,11,0.364,1,5,0.2,0,0,NA,0,3,3,0,1,2,1,1,9,-4,NA,1,2012-10-31
"123",123,"201210310NOH","SAS","Boris Diaw","diawbo01","29:49:00",2,3,0.667,0,1,0,0,0,NA,2,2,4,6,2,1,2,1,4,13,NA,1,2012-10-31
"124",124,"201210310NOH","SAS","Stephen Jackson","jacksst02","24:45:00",2,6,0.333,0,3,0,3,6,0.5,1,4,5,1,1,0,0,5,7,-4,NA,1,2012-10-31
"125",125,"201210310NOH","SAS","Gary Neal","nealga01","17:20",1,5,0.2,0,2,0,0,1,0,1,2,3,3,0,0,1,1,2,-3,NA,1,2012-10-31
"126",126,"201210310NOH","SAS","Tiago Splitter","splitti01","15:50",3,5,0.6,0,0,NA,1,2,0.5,3,3,6,1,0,0,1,1,7,-9,NA,1,2012-10-31
"127",127,"201210310NOH","SAS","Matt Bonner","bonnema01","9:32",1,3,0.333,1,2,0.5,0,0,NA,0,0,0,0,0,1,1,2,3,-6,NA,1,2012-10-31
"128",128,"201210310NOH","SAS","Patrick Mills","millspa02","6:03",0,0,NA,0,0,NA,1,2,0.5,0,1,1,1,0,1,2,0,1,-4,NA,1,2012-10-31
"129",129,"201210310NOH","NOH","Greivis Vasquez","vasqugr01","37:28:00",4,8,0.5,0,3,0,0,0,NA,0,6,6,13,1,0,2,3,8,-5,NA,1,2012-10-31
"130",130,"201210310NOH","NOH","Al-Farouq Aminu","aminual01","37:06:00",8,16,0.5,0,1,0,1,2,0.5,0,7,7,3,2,3,3,2,17,-17,NA,1,2012-10-31
"131",131,"201210310NOH","NOH","Anthony Davis","davisan02","29:04:00",6,12,0.5,0,0,NA,9,9,1,3,4,7,0,1,1,0,0,21,-20,NA,1,2012-10-31
"132",132,"201210310NOH","NOH","Robin Lopez","lopezro01","25:32:00",4,10,0.4,0,0,NA,0,0,NA,3,6,9,3,0,1,2,2,8,-15,NA,1,2012-10-31
"133",133,"201210310NOH","NOH","Austin Rivers","riverau01","24:06:00",1,9,0.111,0,2,0,5,6,0.833,0,1,1,2,0,0,3,3,7,-2,NA,1,2012-10-31
"134",134,"201210310NOH","NOH","Ryan Anderson","anderry01","28:51:00",3,10,0.3,1,5,0.2,4,4,1,0,5,5,0,0,0,0,2,11,16,NA,1,2012-10-31
"135",135,"201210310NOH","NOH","Roger Mason","masonro01","27:03:00",3,7,0.429,2,4,0.5,0,0,NA,0,1,1,2,0,0,0,5,8,-1,NA,1,2012-10-31
"136",136,"201210310NOH","NOH","Jason Smith","smithja02","16:34",5,6,0.833,0,0,NA,2,2,1,3,3,6,1,1,1,1,1,12,12,NA,1,2012-10-31
"137",137,"201210310NOH","NOH","Darius Miller","milleda01","14:08",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,2,2,0,2,2,3,15,NA,1,2012-10-31
